1594,02AC,FFF0,BB68,FF2A,01A7,002C,0061,
1599,0380,FF44,C09C,FEA1,FFF3,0033,0061,
159E,02DC,FF68,BD6C,FE32,FEEA,01D7,0061,
15A3,03CC,FFCC,BDD4,FF97,009D,FFF0,0061,
15A8,0344,FF44,BE4C,FEA2,FEB7,0115,0061,
15AD,0248,FF10,BC5C,FE14,FFA3,0147,0061,
15B2,03B8,FF70,BEE8,FF0F,00F7,00D1,0061,
15B7,034C,0030,BDC4,FE2B,FE6F,00F1,0061,
15BC,0264,FE30,BDCC,FEF3,0048,FFDF,0061,
15C1,0364,0070,BE20,FE82,0017,0169,0061,
15C6,02C8,0040,BD30,FE79,FF20,0085,0061,
15CB,02EC,FEC4,BF94,FF3E,008D,006C,0061,
15D0,032C,0068,BE38,FE79,FDD6,01B9,0061,
15D5,01D8,FFAC,BC3C,FF7A,00F3,FF94,0061,
15DA,0378,FEB4,BF9C,FDF6,FF2F,014F,0061,
15DF,031C,FFCC,BCB0,FEAF,FFF9,010E,0061,
15E4,02D8,0140,C0B0,FFDC,FE29,00C6,0061,
15E9,0280,FD88,BC98,FF5F,FE2A,01A7,0061,
15EE,02D8,00C8,BD60,0011,0053,0098,0061,
15F3,02C4,FDDC,BD68,FDD2,FD52,0106,0061,
15F8,0310,FFC4,BE1C,FE66,008F,01DB,0061,
15FD,039C,009C,BDBC,FDE6,FA9B,0242,0061,
1602,01CC,FB50,B828,FA27,FBCB,0239,0061,
1607,0344,FFF4,C0C0,FE10,0478,0005,0061,
160C,0360,02E4,C1C4,FCD1,FA13,0239,0061,
1611,0020,FE24,B8A4,FDB6,FE14,012A,0061,
1616,0388,0274,C4D8,018A,02DD,000E,0061,
161B,0480,04D8,BDC0,0022,F8A4,02D0,0061,
1620,FFE0,FAF4,BA88,029F,FD9B,FCDE,0061,
1625,014C,FE70,BF0C,004B,0078,017A,0061,
162A,0204,00D8,BCEC,00E6,FE05,FF2E,0061,
162F,0164,FE20,BF94,FEF9,FDC4,00EB,0061,
1634,018C,FC74,BBB0,FAD8,FB5B,0302,0061,
1639,FED4,FD28,B384,F290,FC51,03DD,0061,
163E,00A8,FE10,BE28,F9EB,089B,FC10,0061,
1643,0200,0278,C324,F6FC,FFF1,007D,0061,
1648,0134,015C,BB74,F9BD,04AA,FE10,0061,
164D,0404,06E4,CB9C,FEDF,008C,FF09,0061,
1652,FF10,FED8,B930,F7EB,F2D8,0526,0061,
1657,FEA0,FE80,AFF8,FD62,0BA7,FF82,0061,
165C,0880,04B8,CBEC,FDB0,0570,000D,0061,
1661,0230,02B8,BA1C,F306,ED73,0798,0061,
1666,FEC4,FD14,B950,F944,01B9,0030,0061,
166B,0348,08C4,C890,F993,FD06,03F6,0061,
1670,01E8,01D4,BD34,F71E,F5CC,06F5,0061,
1675,013C,0C64,C97C,04F8,FA2C,00B2,0061,
167A,FC0C,FFFC,B998,F6BF,E6C8,0F0B,0061,
167F,FBF8,0738,B94C,0171,08E0,035B,0061,
1684,04A4,09C4,D26C,07B9,FDE4,0662,0061,
1689,00F8,04DC,C7D0,0283,E390,1071,0061,
168E,FA18,F618,AF8C,F81A,EC08,0E15,0061,
1693,FC04,09A0,B804,FE7E,F65D,0A7C,0061,
1698,FA5C,0094,C388,FD4E,EE97,097C,0061,
169D,FEC4,02F8,C034,FEB6,F57C,105B,0061,
16A2,FAA8,08B0,C5F4,0711,E55F,05F0,0061,
16A7,EF74,FA38,A090,FCEB,F3C7,0C57,0061,
16AC,FCD0,0488,BE24,0BBA,14D2,01EE,0061,
16B1,FC24,FEBC,CA84,0059,F9E1,09AC,0061,
16B6,FB04,FD18,AB30,0437,032E,0668,0061,
16BB,F7B8,03A8,C6E8,0BED,0521,F778,0061,
16C0,F8B4,F714,C090,F97F,0326,0C56,0061,
16C5,0058,0E2C,C744,0980,02AD,0191,0061,
16CA,F558,F0A4,A58C,0947,FEC0,F959,0061,
16CF,FBF4,FC38,B8FC,1D4E,29C1,EC72,0061,
16D4,02D8,000C,C7E4,0BED,0BC7,F49D,0061,
16D9,F74C,F144,B254,114A,182F,E556,0061,
16DE,03E0,143C,D868,158A,196A,F592,0061,
16E3,F730,F258,AEB8,E4C1,DCC6,07E7,0061,
16E8,F7FC,EA78,A178,08C7,2792,F2AB,0061,
16ED,067C,0530,CEE0,0328,1ABF,F0B0,0061,
16F2,0248,F77C,C210,FFE0,07EC,F442,0061,
16F7,065C,05B0,CA0C,0EB2,1B3A,F18F,0061,
16FC,04DC,FEF4,C730,0683,F87E,FAC8,0061,
1701,07C0,F228,B494,0E3D,0806,F9F6,0061,
1706,0700,FA10,B988,1A43,162B,E93D,0061,
170B,0A18,FB18,CD84,17AB,0B13,EC9C,0061,
1710,07EC,FD38,C674,0E61,FB44,FB3C,0061,
1715,0554,F128,BAC0,0E15,F5B5,F8A9,0061,
171A,FEBC,EF34,B110,14FF,066E,F3C1,0061,
171F,0554,F1FC,BB3C,1F14,1945,EC92,0061,
1724,0944,FA34,CE0C,16B1,0F8A,F38D,0061,
1729,0BD8,F0AC,CF4C,0948,F096,07AB,0061,
172E,0798,E778,AE64,12D6,FC74,F938,0061,
1733,03FC,EA18,BB80,158C,098D,EED0,0061,
1738,08B4,E668,BD04,1756,1398,EDFC,0061,
173D,0A5C,F740,C3E8,19EE,10E6,F16D,0061,
1742,0E8C,E90C,C428,135A,07DB,F731,0061,
1747,0710,E6AC,B980,1240,07E9,F190,0061,
174C,0AFC,E834,C4DC,1875,1B40,EDAA,0061,
1751,1114,ECD4,CF38,1846,0E49,F11D,0061,
1756,1240,E93C,C64C,11EB,00AA,F7F0,0061,
175B,0A28,E7CC,B874,177B,10A7,F000,0061,
1760,149C,E378,D640,1866,0873,FA59,0061,
1765,0EDC,E204,B2A4,0D5D,008A,F822,0061,
176A,11E0,E140,C5D4,1FCB,227B,E8F8,0061,
176F,18A0,EBD4,DFFC,1575,0691,F4BF,0061,
1774,0CA0,E430,BA0C,09C9,F8CA,FC31,0061,
1779,137C,DCD0,C8C8,1EFE,134B,F3B2,0061,
177E,152C,E5F0,D71C,16EA,FFDB,FADA,0061,
1783,0CB4,D660,BD70,14DF,09FE,F148,0061,
1788,1904,E6E0,D72C,2F3D,22C7,EF36,0061,
178D,1C1C,E260,DC28,2409,FEF8,FB47,0061,
1792,0F60,CA04,B2F8,31D8,0DEB,EBF8,0061,
1797,1C44,DC24,DB00,33BB,2DAA,E9E7,0061,
179C,1F78,DA3C,D6D4,12F5,0184,F931,0061,
17A1,1F94,D68C,D054,172D,1007,F4AF,0061,
17A6,1F6C,CAAC,D800,1A51,0563,FD76,0061,
17AB,1A24,D014,D060,1D40,100E,EC1F,0061,
17B0,1F50,DCB0,D9E0,1668,1257,EF2B,0061,
17B5,202C,DE40,DEFC,1BE3,0913,F1B3,0061,
17BA,2098,D688,DBF8,2063,0432,F67B,0061,
17BF,1C74,C97C,CFFC,1CCF,12B0,F141,0061,
17C4,21CC,E444,E738,20E9,1A1F,F676,0061,
17C9,23D4,D458,E934,196C,FE98,02F4,0061,
17CE,219C,CE14,D2B8,2085,1308,FBB3,0061,
17D3,2570,D508,E5E8,2646,1B81,FC9D,0061,
17D8,3174,C750,EFB4,2537,20B4,0ACA,0061,
17DD,25F0,E2B8,E270,2F7C,03FC,E9C9,0061,
17E2,1FF8,C324,EEBC,2286,0C84,FF63,0061,
17E7,2544,CE88,DCF4,209B,1422,FB45,0061,
17EC,2748,B8E8,E130,26D6,22A0,EBE7,0061,
17F1,29FC,D784,F21C,2131,2B43,ED18,0061,
17F6,28E8,D8F4,FBA8,21F8,1F0E,F13E,0061,
17FB,27D8,C8D8,EFA4,1A2B,1AB2,F88D,0061,
1800,3254,C8E8,F9F8,27AF,31BB,EBBF,0061,
1805,30DC,E260,1B08,1B56,093F,F524,0061,
180A,29D0,C324,EBE8,09AD,018C,FE7F,0061,
180F,2D48,D148,0090,1FE8,1768,EE31,0061,
1814,295C,C904,FEDC,1F52,1B25,EB0F,0061,
1819,34F4,E22C,13BC,19A6,13C4,FB41,0061,
181E,2EA8,C888,FFDC,0E92,FAB9,FA85,0061,
1823,2868,CCF0,EFB8,1641,1056,F514,0061,
1828,30F0,E044,1144,24B6,2D54,E763,0061,
182D,3128,D3B8,1704,11E7,0199,FC47,0061,
1832,2DC0,D0CC,F4A4,2662,1D4A,F203,0061,
1837,2EA4,D958,1568,26B9,21C9,EBA0,0061,
183C,30C4,CDF8,1760,185D,1498,F863,0061,
1841,2F7C,DCE4,0CAC,1B54,164F,F0FD,0061,
1846,2C10,D974,1430,1B2D,17EE,F30C,0061,
184B,2D2C,DAD4,0F44,1938,1DE1,F7BF,0061,
1850,2CF0,E094,08A8,2377,2A28,EFC4,0061,
1855,28DC,DC74,1D70,2E1A,32B9,E99C,0061,
185A,2B80,DD18,2298,25D4,32D4,F50A,0061,
185F,3320,E090,2880,2245,2DC2,F5FF,0061,
1864,2910,E594,1D90,214D,201F,F29C,0061,
1869,2BB0,D988,2E48,228B,3314,F3E5,0061,
186E,2AB8,F1C8,3128,1D3B,1FD1,F826,0061,
1873,2804,DF3C,2350,2980,2B70,F374,0061,
1878,2FD4,EDCC,3A54,29C3,2B6A,F81D,0061,
187D,2944,E6FC,3F38,1D5D,0E5C,FC9D,0061,
1882,225C,E72C,2594,0BAE,02B5,FCD6,0061,
1887,208C,EA54,2EC0,1090,1AE8,FB6A,0061,
188C,301C,F564,4040,2145,1EC6,0179,0061,
1891,21D0,EA7C,3638,14CD,F728,FBD4,0061,
1896,20CC,DD04,2888,1F55,1D35,F68A,0061,
189B,2708,FBAC,3DF4,1D68,1B6D,F257,0061,
18A0,1CAC,FDB4,33C0,16C0,F928,008F,0061,
18A5,125C,F14C,2C54,2448,18BE,F753,0061,
18AA,2174,EA50,2978,34BA,3F7C,F5C4,0061,
18AF,20F8,F968,4DB4,2B58,2C80,E740,0061,
18B4,222C,07D4,4150,2812,1DBC,FBF2,0061,
18B9,1BF8,F26C,2AE8,180A,0DCF,F964,0061,
18BE,1398,FE08,3210,1385,1F91,F180,0061,
18C3,1174,0650,3640,15EC,302E,FA18,0061,
18C8,1B80,F098,52E0,0BAF,1E2A,FB5A,0061,
18CD,1948,108C,5648,07EB,FFA5,FB28,0061,
18D2,09BC,F8C4,3604,073E,FF5F,001A,0061,
18D7,127C,05DC,3BB8,0E8C,1B34,FEA7,0061,
18DC,1B50,05A4,45F4,06F3,06EE,02D5,0061,
18E1,0B68,03E8,30F8,0209,F93D,FFBB,0061,
18E6,0C68,FBE0,3DB0,12B3,184E,F31A,0061,
18EB,1564,0B78,4B48,0D23,13EA,FE45,0061,
18F0,136C,0A34,45DC,0437,FB84,FD24,0061,
18F5,0A9C,FF9C,3488,FE60,FC8C,02C7,0061,
18FA,0F64,031C,3A6C,01AA,0D91,FF2F,0061,
18FF,1100,0FE8,44E4,FE69,0540,01A8,0061,
1904,0FBC,FF34,3AE0,F991,FF70,0743,0061,
1909,114C,035C,40CC,FC56,0657,0164,0061,
190E,0D0C,0C98,2750,FD44,07FB,0091,0061,
1913,1080,0190,489C,02E7,15C2,F80C,0061,
1918,1174,0920,44A0,F96F,02E8,058A,0061,
191D,0D4C,036C,3B44,FB77,05BB,FE0A,0061,
1922,0E2C,03D0,3FF0,FD95,0BD0,FFA2,0061,
1927,0CB4,0CB4,4584,FB14,02C1,0135,0061,
192C,08E4,00A4,38C0,FD16,06AB,01F3,0061,
1931,0D48,0A00,4770,049D,0E0B,01F3,0061,
1936,0EA0,0764,49A4,FE91,F5DD,0519,0061,
193B,08A4,FE2C,3680,FF0E,FB65,0314,0061,
1940,0CB0,06C8,3F44,03D5,0A66,FEEF,0061,
1945,0D04,0858,4778,FE97,F99B,02E1,0061,
194A,0AF4,FFDC,37DC,001B,FECA,02C0,0061,
194F,0BCC,0910,4000,0105,034C,FF22,0061,
1954,0BEC,01B0,3E64,FE23,FE4F,00E6,0061,
1959,0B64,068C,3D80,00A0,04B0,FDFE,0061,
195E,0BE0,0914,42DC,0041,0154,0007,0061,
1963,0C64,05C8,3FA0,003D,FD7D,03A4,0061,
1968,0D1C,024C,3C1C,FE38,FFAA,0230,0061,
196D,0BCC,05B8,3C58,FE3F,037B,FF67,0061,
1972,0B24,0860,4348,FFA7,FE8D,FF92,0061,
1977,0A68,0528,3EF0,FE29,00AD,01AB,0061,
197C,0CA8,0884,4250,FCFF,FEA9,02EC,0061,
1981,0B7C,03E8,3D20,FC82,FC17,01F6,0061,
1986,0B6C,0508,3E38,0015,0209,FFA5,0061,
198B,0C88,0820,41B4,FFB9,FFA0,0128,0061,
1990,0C40,06D0,3F10,FE46,FBD1,01FF,0061,
1995,0AAC,0298,3900,FE67,FDA7,010F,0061,
199A,0C7C,0594,406C,01CF,05F1,FD67,0061,
199F,0C08,0818,4280,FDFF,FCD3,00AB,0061,
19A4,0B5C,0500,3B60,FEA7,FFFF,00CB,0061,
19A9,0C4C,06DC,4118,FF2F,003F,001F,0061,
19AE,0C28,04F8,3EA8,FE4B,FE9E,0052,0061,
19B3,0C24,0668,3D64,FE9B,0032,0025,0061,
19B8,0C5C,06F4,3F1C,FEF4,FFE2,00AA,0061,
19BD,0C94,0420,3D1C,FD74,FF54,015C,0061,
19C2,0BFC,0688,3EE0,006B,02B3,FD5B,0061,
19C7,0BFC,087C,4354,FEE3,FD7D,0153,0061,
19CC,0B98,0408,3B5C,FE63,FE78,01B3,0061,
19D1,0CA0,0744,410C,00FE,02E3,FE91,0061,
19D6,0A00,0458,404C,FE35,FA5C,0021,0061,
19DB,0A14,0468,39E4,010C,0378,FE7D,0061,
